time(s),temperature (degree celsius)
0,22.5
1.5,22
3,22
4.5,22.7
6,22.7
7.5,22.9
9,22.9
10.5,22.2
12,22.2
13.5,22.7
15,23.2
16.5,23.5
18,23.5
19.5,23.9
21,23.9
22.5,23.4
24,23.4
25.5,23.1
27,23.1
28.5,23.2
30,23.2
31.5,23.7
33,23.7
34.5,23
36,23
37.5,23.9
39,23.3
40.5,23.3
42,23
43.5,23
45,23.4
46.5,23.4
48,23.2
49.5,24.5
51,24.5
52.5,24.2
54,24.2
55.5,25.3
57,25.3
58.5,25.9
60,25.9
61.5,25.9
63,25.9
64.5,25.9
66,25.9
67.5,25
69,25
70.5,25.3
72,25.3
73.5,25.6
75,25.6
76.5,25
78,25
79.5,25.7
81,25.7
82.5,25.6
84,25.6
85.5,25.1
87,25.1
88.5,25.8
90,25.8
91.5,25.5
93,25.5
94.5,25.6
96,25.6
97.5,25.4
99,25.4
100.5,25.7
102,25.7
103.5,25.4
105,25.4
106.5,25.4
108,25.4
109.5,25.8
111,25.8
112.5,26
114,26
115.5,26.9
117,26.9
118.5,26.5
120,26.5
121.5,26.7
123,26.7
124.5,26.6
126,26.6
127.5,26.8
129,26.8
130.5,26.9
132,26.9
133.5,26.6
135,26.6
136.5,26.6
138,26.6
139.5,26.8
141,26.8
142.5,26.8
144,26.8
145.5,26.9
147,26.9
148.5,26
150,26
151.5,26.7
153,26.7
154.5,26.3
156,26.5
157.5,26.4
159,28.6
160.5,28.2
162,28.2
163.5,28.1
165,28.1
166.5,28.9
168,28.9
169.5,28.6
171,28.6
172.5,28.4
174,28.4
175.5,28.9
177,28.9
178.5,28.2
180,28.2
181.5,28.8
183,28.8
184.5,28.6
186,28.6
187.5,28.1
189,28.1
190.5,28.3
192,28.3
193.5,29.1
195,29.1
196.5,29
198,29
199.5,29.6
201,29.6
202.5,29
204,29
205.5,29.8
207,29.8
208.5,29.3
210,29.3
211.5,29.8
213,29.8
214.5,29.3
216,29.3
217.5,29.1
219,29.1
220.5,29.4
222,29.4
223.5,29
225,29
226.5,29.9
228,29.9
229.5,29.7
231,29.7
232.5,29.5
234,29.5
235.5,30.2
237,30.2
238.5,30.2
240,30.2
241.5,30
243,30
244.5,30.5
246,30.5
247.5,30.4
249,30.4
250.5,30.4
252,30.4
253.5,30.7
255,30.7
256.5,30.1
258,30.1
259.5,30.4
261,30.4
262.5,30.3
264,30.3
265.5,30.1
267,30.1
268.5,30.2
270,30.2
271.5,30.7
273,30.7
274.5,30.9
276,30.9
277.5,30.3
279,30.3
280.5,30.3
282,30.3
283.5,30.6
285,30.6
286.5,30.7
288,30.7
289.5,30.5
291,30.5
292.5,30.7
294,30.7
295.5,30.7
297,30.7
298.5,30.7
300,30.7
301.5,30.4
303,30.4
304.5,30.9
306,30.9
307.5,30.9
309,30.9
310.5,30.1
312,30.1
313.5,30
315,30
316.5,29.7
318,29.7
319.5,29.2
321,29.2
322.5,29.1
324,29.1
325.5,29.7
327,29.7
328.5,29.3
330,29.3
331.5,29.7
333,29.7
334.5,29.2
336,29.2
337.5,29.1
339,29.1
340.5,29.7
342,29.7
343.5,29.3
345,29.3
346.5,29.3
348,29.3
349.5,28.6
351,
352.5,
